month,year,date,well_number,depth_to_water,depth_to_water-neg,change
April,2007,4/1/07,1,48.6,-48.6,NaN
April,2008,4/1/08,1,62.3,-62.3,-13.7
April,2009,4/1/09,1,55.9,-55.9,6.4
April,2010,4/1/10,1,36.2,-36.2,19.7
April,2011,4/1/11,1,33.9,-33.9,2.3
April,2012,4/1/12,1,33.4,-33.4,0.5
April,2013,4/1/13,1,55,-55,-21.6
April,2014,4/1/14,1,46.7,-46.7,8.3
August,2007,8/1/07,1,80.2,-80.2,NaN
August,2008,8/1/08,1,81.8,-81.8,-1.6
August,2009,8/1/09,1,87.3,-87.3,-5.5
August,2010,8/1/10,1,77.8,-77.8,9.5
August,2011,8/1/11,1,76.2,-76.2,1.6
August,2012,8/1/12,1,84,-84,-7.8
August,2013,8/1/13,1,88.1,-88.1,-4.1
December,2007,12/1/07,1,37.5,-37.5,NaN
December,2008,12/1/08,1,40,-40,-2.5
December,2009,12/1/09,1,44,-44,-4.0
December,2011,12/1/11,1,38.5,-38.5,5.5
December,2012,12/1/12,1,40.6,-40.6,-2.1
December,2013,12/1/13,1,45.3,-45.3,-4.7
February,2007,2/1/07,1,32,-32,NaN
February,2008,2/1/08,1,31.5,-31.5,0.5
February,2009,2/1/09,1,36.6,-36.6,-5.1
February,2010,2/1/10,1,39.6,-39.6,-3.0
February,2011,2/1/11,1,37,-37,2.6
February,2012,2/1/12,1,36,-36,1.0
February,2013,2/1/13,1,40.4,-40.4,-4.4
February,2014,2/1/14,1,51.6,-51.6,-11.2
January,2007,1/1/07,1,33.7,-33.7,NaN
January,2008,1/1/08,1,33.9,-33.9,-0.2
January,2009,1/1/09,1,38,-38,-4.1
January,2010,1/1/10,1,41.5,-41.5,-3.5
January,2011,1/1/11,1,39.1,-39.1,2.4
January,2012,1/1/12,1,39.6,-39.6,-0.5
January,2013,1/1/13,1,37.7,-37.7,1.9
January,2014,1/1/14,1,57.4,-57.4,-19.7
July,2007,7/1/07,1,89,-89,NaN
July,2008,7/1/08,1,83.2,-83.2,5.8
July,2009,7/1/09,1,104.4,-104.4,-21.2
July,2011,7/1/11,1,82.2,-82.2,22.2
July,2012,7/1/12,1,82.9,-82.9,-0.7
July,2013,7/1/13,1,95.7,-95.7,-12.8
July,2014,7/1/14,1,97.4,-97.4,-1.7
June,2007,6/1/07,1,85.4,-85.4,NaN
June,2008,6/1/08,1,81,-81,4.4
June,2009,6/1/09,1,87,-87,-6.0
June,2010,6/1/10,1,78.4,-78.4,8.6
June,2011,6/1/11,1,74,-74,4.4
June,2012,6/1/12,1,76.8,-76.8,-2.8
June,2013,6/1/13,1,89,-89,-12.2
June,2014,6/1/14,1,92.1,-92.1,-3.1
March,2007,3/1/07,1,38.8,-38.8,NaN
March,2008,3/1/08,1,39,-39,-0.2
March,2009,3/1/09,1,35.8,-35.8,3.2
March,2010,3/1/10,1,36.5,-36.4667,-0.7
March,2011,3/1/11,1,35,-35,1.5
March,2012,3/1/12,1,35.2,-35.2,-0.2
March,2013,3/1/13,1,44,-44,-8.8
March,2014,3/1/14,1,44.2,-44.2,-0.2
May,2007,5/1/07,1,78.3,-78.3,NaN
May,2008,5/1/08,1,71.1,-71.1,7.2
May,2009,5/1/09,1,87,-87,-15.9
May,2010,5/1/10,1,56.4,-56.4,30.6
May,2011,5/1/11,1,52.6,-52.6,3.8
May,2012,5/1/12,1,62.5,-62.5,-9.9
May,2013,5/1/13,1,76.4,-76.4,-13.9
May,2014,5/1/14,1,73.8,-73.8,2.6
November,2007,11/1/07,1,41.9,-41.9,NaN
November,2008,11/1/08,1,47.4,-47.4,-5.5
November,2009,11/1/09,1,50.8,-50.8,-3.4
November,2011,11/1/11,1,40.8,-40.8,10.0
November,2012,11/1/12,1,45.5,-45.5,-4.7
November,2013,11/1/13,1,50.6,-50.6,-5.1
October,2007,10/1/07,1,46.8,-46.8,NaN
October,2008,10/1/08,1,56,-56,-9.2
October,2009,10/1/09,1,55.5,-55.5,0.5
October,2010,10/1/10,1,52.4,-52.4,3.1
October,2011,10/1/11,1,47.9,-47.9,4.5
October,2012,10/1/12,1,51.8,-51.8,-3.9
October,2013,10/1/13,1,64.4,-64.4,-12.6
September,2007,9/1/07,1,61,-61,NaN
September,2008,9/1/08,1,70,-70,-9.0
September,2009,9/1/09,1,76.2,-76.2,-6.2
September,2010,9/1/10,1,65.8,-65.8,10.4
September,2011,9/1/11,1,68.9,-68.9,-3.1
September,2012,9/1/12,1,69.6,-69.6,-0.7
September,2013,9/1/13,1,65,-65,4.6
April,2007,4/1/07,11,41.4,-41.4,NaN
April,2008,4/1/08,11,51.4,-51.4,-10.0
April,2009,4/1/09,11,43.8,-43.8,7.6
April,2010,4/1/10,11,32.7,-32.7,11.1
April,2011,4/1/11,11,26.3,-26.3,6.4
April,2012,4/1/12,11,28,-28,-1.7
April,2013,4/1/13,11,44.6,-44.6,-16.6
April,2014,4/1/14,11,40,-40,4.6
August,2007,8/1/07,11,73.7,-73.7,NaN
August,2008,8/1/08,11,72,-72,1.7
August,2009,8/1/09,11,78,-78,-6.0
August,2010,8/1/10,11,76.5,-76.5,1.5
August,2011,8/1/11,11,69.1,-69.1,7.4
August,2012,8/1/12,11,78,-78,-8.9
August,2013,8/1/13,11,76.6,-76.6,1.4
December,2007,12/1/07,11,33.2,-33.2,NaN
December,2008,12/1/08,11,33.1,-33.1,0.1
December,2009,12/1/09,11,37.3,-37.3,-4.2
December,2011,12/1/11,11,32.7,-32.7,4.6
December,2012,12/1/12,11,35.9,-35.9,-3.2
December,2013,12/1/13,11,38.6,-38.6,-2.7
February,2007,2/1/07,11,26.4,-26.4,NaN
February,2008,2/1/08,11,25,-25,1.4
February,2009,2/1/09,11,29.8,-29.8,-4.8
February,2010,2/1/10,11,46.1,-46.1,-16.3
February,2011,2/1/11,11,31,-31,15.1
February,2012,2/1/12,11,30.1,-30.1,0.9
February,2013,2/1/13,11,30.6,-30.6,-0.5
February,2014,2/1/14,11,44.4,-44.4,-13.8
January,2007,1/1/07,11,27.8,-27.8,NaN
January,2008,1/1/08,11,27.6,-27.6,0.2
January,2009,1/1/09,11,31.9,-31.9,-4.3
January,2010,1/1/10,11,35.2,-35.2,-3.3
January,2011,1/1/11,11,32,-32,3.2
January,2012,1/1/12,11,34.5,-34.5,-2.5
January,2013,1/1/13,11,35.5,-35.5,-1.0
January,2014,1/1/14,11,51.7,-51.7,-16.2
July,2007,7/1/07,11,82.9,-82.9,NaN
July,2008,7/1/08,11,75.6,-75.6,7.3
July,2009,7/1/09,11,95,-95,-19.4
July,2010,7/1/10,11,82.1,-82.1,12.9
July,2011,7/1/11,11,70,-70,12.1
July,2012,7/1/12,11,75.1,-75.1,-5.1
July,2013,7/1/13,11,86.9,-86.9,-11.8
July,2014,7/1/14,11,90,-90,-3.1
June,2007,6/1/07,11,76.6,-76.6,NaN
June,2008,6/1/08,11,71.1,-71.1,5.5
June,2009,6/1/09,11,71.1,-71.1,0.0
June,2010,6/1/10,11,61.4,-61.4,9.7
June,2011,6/1/11,11,61.4,-61.4,0.0
June,2012,6/1/12,11,78.9,-78.9,-17.5
June,2013,6/1/13,11,79.9,-79.9,-1.0
June,2014,6/1/14,11,82.4,-82.4,-2.5
March,2007,3/1/07,11,37.9,-37.9,NaN
March,2008,3/1/08,11,30.8,-30.8,7.1
March,2009,3/1/09,11,28.6,-28.6,2.2
March,2010,3/1/10,11,31,-31,-2.4
